,LF-delta,LF-theta,LF-alpha,LF-beta,LF-gamma,LF-broadband,LC-delta,LC-theta,LC-alpha,LC-beta,LC-gamma,LC-broadband,LP-delta,LP-theta,LP-alpha,LP-beta,LP-gamma,LP-broadband,LO-delta,LO-theta,LO-alpha,LO-beta,LO-gamma,LO-broadband,RF-delta,RF-theta,RF-alpha,RF-beta,RF-gamma,RF-broadband,RC-delta,RC-theta,RC-alpha,RC-beta,RC-gamma,RC-broadband,RP-delta,RP-theta,RP-alpha,RP-beta,RP-gamma,RP-broadband,RO-delta,RO-theta,RO-alpha,RO-beta,RO-gamma,RO-broadband,FZ-delta,FZ-theta,FZ-alpha,FZ-beta,FZ-gamma,FZ-broadband,CZ-delta,CZ-theta,CZ-alpha,CZ-beta,CZ-gamma,CZ-broadband,PZ-delta,PZ-theta,PZ-alpha,PZ-beta,PZ-gamma,PZ-broadband,OZ-delta,OZ-theta,OZ-alpha,OZ-beta,OZ-gamma,OZ-broadband,all-delta,all-theta,all-alpha,all-beta,all-gamma,all-broadband
05-induction4,-85.22180385778348,-86.19298436770717,-89.12233737019687,-91.98082111030925,-97.27948758158475,-91.76495395460408,-86.81271948473673,-87.43168976254276,-89.14364339966802,-91.70356311815878,-97.67956822228335,-92.02530072343703,-87.53921700275774,-87.75645624239193,-88.91574989569347,-91.49324835798835,-97.69031943290973,-92.0156839334065,-89.13136882128342,-89.1121045182259,-89.9210952143276,-91.25788910270234,-95.50177282010695,-91.75795015662648,-85.04623988661722,-85.94873775485546,-88.56457677094943,-91.45454763193923,-97.08167710589709,-91.38092115208916,-85.96015517599736,-86.5930271454903,-88.30101315446129,-91.0354324823785,-97.53655598475814,-91.43550316085474,-86.87053280209358,-87.28624356374179,-88.78169690639247,-91.50080347891713,-97.94350027929917,-91.95508396256028,-88.03662446373804,-88.33697644694435,-89.70492841245621,-91.89311148855538,-97.04896873084712,-92.22199528487555,-84.97578267063535,-85.78882906342325,-87.90876979431941,-90.81833527820449,-96.66636282844641,-90.90217973514143,-83.8992384421116,-84.42793395069197,-85.77960559632353,-87.64312333838694,-94.86689339768489,-88.56680665060806,-85.44658917297903,-85.73215871574102,-87.29879601158169,-90.0142523217711,-96.21841948509012,-90.40877280609969,-92.09381602120982,-92.17455226960061,-93.18900434915999,-94.3820877568943,-97.03999485674919,-94.47767546878677,-86.44050329912312,-87.00199976503194,-88.81555980418439,-91.41165021197986,-97.28916783619988,-91.68334084127486
05-experience1,-86.76526248191902,-87.5719262728019,-89.69229901090432,-91.6815484100278,-96.1222320697474,-91.69020357851187,-88.2989699246749,-88.82745837184018,-89.8917184024155,-91.8781846311121,-97.77049665027847,-92.48962191646312,-88.78288982943471,-88.97208345892957,-89.54279258385459,-91.61227748234904,-98.38588559600619,-92.55177285328053,-90.27759576768547,-90.17677617334373,-90.55684184278257,-91.51938773605272,-96.94342400998116,-92.5207018621002,-86.55822350298023,-87.25378054858862,-89.11744187615622,-91.11821341847036,-95.92758101846297,-91.27803588569992,-87.51289891137654,-88.01153974816157,-89.02642399128621,-90.79558993576379,-96.83080957397529,-91.52080412966995,-88.12682019910577,-88.4964278077924,-89.44110921644813,-91.41193320495685,-98.36811500393117,-92.333834415548,-89.17548781376858,-89.50884430039704,-90.54454301110962,-92.06033601743945,-98.10638107638533,-92.8766339894716,-86.37581409445002,-87.03698951372039,-88.66135463596629,-90.94940779622483,-96.59261692393251,-91.28280356369797,-84.98973703528333,-85.58259680112715,-86.68912321870968,-88.22589514100268,-95.4237371061661,-89.28373279550473,-86.47588465674231,-86.94084258247454,-88.1845081133786,-90.26073723514254,-97.03092026784225,-91.03518535803424,-92.98719397195336,-93.13120596247144,-94.0253961947902,-95.00278743681554,-98.06890435753856,-95.28286004887313,-87.80022268448859,-88.28057964528533,-89.49706242881541,-91.39162908563436,-97.2260719779663,-91.99053755888598
05-experience2,-85.77527864858092,-86.69886458489157,-89.51441422265496,-91.9357119613075,-97.0579970978072,-91.83442540265293,-88.03914291120594,-88.59597248746277,-89.98763682639542,-91.86544442397883,-98.11120842712984,-92.52952732007934,-88.65885858947809,-88.82933405572837,-89.49132883954587,-91.27423655568299,-98.354949224418,-92.36009590463708,-90.33632192487042,-90.02538945045507,-90.40856202595609,-91.22763537400967,-97.57380869944491,-92.52291543329373,-85.68047865682072,-86.55456229721929,-89.04545674684951,-91.54775169093136,-97.30946826748274,-91.65190509787874,-87.14372150401493,-87.6947138131008,-88.96251877578004,-91.05412218066967,-97.96330444093817,-91.84527650082548,-88.08379361117707,-88.33226109342894,-89.27538834585401,-91.1785313477121,-98.6467918481123,-92.26118137354453,-89.29810950452978,-89.39410965241133,-90.47765087340383,-91.78141407844603,-98.13461873836215,-92.75227802292574,-85.56139248105535,-86.3516537105032,-88.43404478335499,-90.73661081471339,-96.41424046951091,-90.9697440814901,-84.92155754167311,-85.44843467137375,-86.54798676035381,-87.83729402051496,-95.35818956215545,-89.05812759711065,-86.58877011115055,-86.8782941288665,-88.17701862042969,-89.9564288817989,-97.0841949154277,-90.9158500117111,-93.01508420330754,-92.96580578662828,-94.02966717336975,-95.01026266827017,-98.71647551247978,-95.43479279517206,-87.43478845086474,-87.91865863582478,-89.41588120567303,-91.37869568338685,-97.77751509040618,-92.0417246593619
05-experience3,-86.15422336753919,-86.90120736569185,-89.25418628525196,-91.56541373172341,-96.2624087451373,-91.50100006740817,-87.84163605184767,-88.29196350360374,-89.47676747452238,-91.3647697540359,-96.84264956966851,-91.88584548473067,-88.54790866811261,-88.63502698885776,-89.2348483595215,-91.09368333195431,-96.94462633146586,-91.8700924838951,-89.97879297030359,-89.84361251133308,-90.26296358006473,-91.07008623342551,-95.66187568014837,-91.90554463124872,-85.89301418276577,-86.64912120517783,-88.82182552617289,-91.15892527036114,-96.21197198317365,-91.21090545886757,-87.07637529599668,-87.5273978654622,-88.6235761033094,-90.76697435161975,-96.81525996196032,-91.37168837519582,-88.03290726613969,-88.21726366800365,-89.11476246091388,-91.2361815186478,-97.41801421029342,-91.94727857547059,-89.00134872760302,-89.12308622374218,-90.1206563916156,-91.48958777550779,-96.3874455184089,-92.09168501287681,-85.74254352226919,-86.36364722541832,-88.0954338360485,-90.499013592223,-95.81250930310901,-90.69784590065122,-84.71678465005186,-85.14553577934828,-86.03501528024636,-87.49511066326336,-94.41157309696855,-88.5654266436753,-86.29168750491705,-86.53194304101353,-87.69928198700703,-89.80813103261823,-95.87970442835282,-90.43587632506016,-92.66728236464928,-92.5404824371939,-93.2552519600898,-93.80993192632323,-96.27243079742172,-94.12887874239419,-87.41443926330558,-87.80309617140004,-89.09683054266364,-91.08408087070849,-96.55877238060472,-91.55896608470694
05-experience4,-83.54883113054261,-84.50686238402528,-87.60712859598036,-90.72508708342497,-95.14012104912204,-90.17760166087658,-85.82911264593392,-86.3993260697859,-88.31186213509733,-90.6667865458374,-95.30229881890743,-90.6796587354354,-86.98685730247529,-87.06825536065864,-88.11407477521118,-90.4192701323054,-95.44379535523875,-90.76653914218164,-88.57867700423202,-88.26660811185585,-88.6916846497718,-90.12091700673088,-94.09604452346433,-90.63212076048094,-83.68086889084006,-84.59001773519722,-87.37668595155608,-90.41283283369185,-95.00247467521316,-90.00115070172396,-85.28028273854258,-85.87272342047712,-87.69848150408248,-90.30615681854016,-95.70200353895954,-90.44842021939317,-86.63183221140976,-86.830808742329,-88.05974472446701,-90.5890346226202,-96.27712557454956,-90.98658554163708,-87.64655197597673,-87.65793603407522,-88.64727312878819,-90.55328050454068,-95.32417333756817,-90.97519567531936,-83.21063689092915,-84.06167336090135,-86.62264517159902,-89.95481332213825,-94.93350874204808,-89.60253872281719,-83.65494905864834,-84.11024222324399,-85.48144175858097,-87.71454527025188,-93.93932353422848,-88.28103955921782,-85.2718695527253,-85.38081321019666,-86.57838131732423,-89.25291364054446,-95.01474046784205,-89.64060266323015,-91.34536585920415,-91.29589862534974,-92.05578168630967,-92.91239419404901,-95.30158472706206,-93.10567818617393,-85.59873138861778,-86.06769313036861,-87.87963948045035,-90.42726861729273,-95.36326039510698,-90.48769237650214
06-baseline1,-82.35148711189629,-82.71429406665985,-84.16765279090006,-90.4671172080217,-94.31369040559284,-89.2119687419536,-82.64457295014107,-82.76889932106664,-83.50046528165115,-88.72526411610076,-90.70969520967634,-87.49518640995032,-82.46813344945343,-82.48898026943407,-83.14025226197712,-90.00040741510348,-93.25222457654556,-88.62297607901942,-82.69502921943294,-82.23246966029998,-82.7495756285418,-89.87941303491942,-94.84720967600765,-88.92524573554311,-82.30454244631345,-82.72960000275245,-84.25548008895584,-90.43677537661098,-94.38652945275582,-89.22214353646608,-82.75660184622649,-82.96536930622082,-83.8488055697168,-89.24242439496916,-92.45961143996719,-88.23107150994431,-82.36775373182437,-82.26999317418756,-82.9566829297779,-90.88760834303284,-96.58988541039771,-89.80633809054318,-82.03820908807782,-81.43748607134152,-81.86190677749666,-89.97927026486383,-96.45819236963852,-89.13897990528996,-81.71324357721,-82.12928600139625,-83.65203623351154,-90.409765538996,-95.11091133385139,-89.21157890722284,-79.85734172811338,-80.09309827335066,-80.96028566522284,-89.39449188666742,-95.66718206234091,-88.23538943125426,-80.52150900177148,-80.52059771809517,-81.22478490099655,-90.10907394906704,-96.92509033723394,-89.00704502347497,-88.23078469569889,-87.73730273828538,-88.09004955123797,-92.08557899783786,-94.55612102817173,-91.4833545045922,-82.47889185894996,-82.58551922907486,-83.5186952640079,-90.07992044312391,-94.13696433667212,-88.92851591877708
06-baseline2,-82.8944229761731,-83.43907822077773,-85.19807499386428,-91.81643550652824,-97.04520868453577,-90.73185576815315,-83.13195276643607,-83.42775994250957,-84.52917535024639,-91.32777257062821,-95.92569358617092,-90.18780985924462,-83.01760897086986,-83.08860803474946,-83.95439862794753,-91.89233533854022,-97.69846483391386,-90.78222867417824,-83.38665550413053,-82.78840128848502,-83.29648268428998,-89.74236336732748,-94.22621514080977,-88.88777124819036,-82.80168852530898,-83.36943058131257,-85.20256065188724,-91.79642381716214,-97.43327386322252,-90.80407715937946,-83.30948421924951,-83.64358392435719,-84.82546720195157,-91.86085440374818,-97.73852682409772,-90.94986972226693,-82.80280730991444,-82.73472520861762,-83.52405827174633,-92.00184472534269,-99.52003409173768,-91.18699772836646,-82.33579452710651,-81.6639025259413,-82.18207025328132,-90.18803244941549,-97.00631088189826,-89.45436905334445,-82.34931450273565,-82.9022281861206,-84.70405898076135,-91.65521313231895,-97.80699337116346,-90.69215441929616,-80.54595165602271,-80.87437898659184,-81.92725424861561,-90.4152208907069,-98.41157551277499,-89.62450176813488,-80.95900955497834,-80.8434172872088,-81.65629459819588,-90.82137388087887,-99.07743377755537,-89.98484883482264,-87.88173194118892,-87.45483261982659,-87.99512735447468,-91.92284265879874,-94.20852674874183,-91.25058007519392,-82.96156438441123,-83.15895917012945,-84.3298429775537,-91.61451484108274,-97.51979841204275,-90.65151793470736
06-induction1,-82.59778661255854,-83.12708405810379,-84.87895168885322,-91.10561662317384,-95.60801702753044,-89.95991397326239,-83.11567096180649,-83.43089224444364,-84.53914771467828,-91.08550417096622,-95.17780604586396,-89.89149948049362,-83.31625398961339,-83.38245985537921,-84.22301651422313,-91.8137576695352,-97.41510976316754,-90.7621414280043,-83.4826807089331,-82.89835878113556,-83.4149465323418,-90.76464453451818,-97.05993675046719,-90.08867283039103,-82.57850951976567,-83.11854550249065,-84.97653582593412,-91.47133797101463,-96.76373939238756,-90.42039601987253,-83.23754812396783,-83.59118107633304,-84.85362912508413,-92.08096527843787,-98.47437240584168,-91.22326330929596,-82.99505542574973,-82.93020587422603,-83.80133272083518,-91.9584311386772,-99.67378159159658,-91.27239881238499,-82.58880672643232,-81.86176327323047,-82.40683837655936,-90.40608597878237,-98.11949305968066,-89.89835279299446,-81.84294848551099,-82.43667486257601,-84.41508365549588,-91.13738738226493,-97.06280668565883,-90.1469966937922,-80.5817923306439,-80.94540917524753,-82.08173253297646,-90.27136671712395,-98.05221060038255,-89.49606107668822,-81.09298404807127,-81.03791032907475,-81.92710906225551,-90.63491349568767,-98.99482646284586,-89.94021803271107,-88.57731536804954,-88.0641307777486,-88.57677846730783,-92.89113231558323,-95.92051885485027,-92.30296171703561,-82.9802182502618,-83.17656461812753,-84.38191717350311,-91.49522946135711,-97.35297253649848,-90.56496639592457
06-induction2,-83.65877851962208,-84.07518145419856,-85.74997265112607,-91.66347626635219,-96.88777250964084,-90.81890070976337,-83.90488200211591,-84.14023349128831,-85.25746215880557,-91.79539203222805,-97.45658042262099,-91.00232928537886,-83.83229403763619,-83.88787460660876,-84.74761959651889,-92.37233457005901,-100.02937524135118,-91.82167319094074,-84.0670589543478,-83.41031146432186,-84.00856253125798,-91.95545650482934,-100.5613324149873,-91.66888182591279,-83.6332178230698,-84.07563527780064,-85.71638197526178,-91.63559143394069,-97.3702341929408,-90.92109820112175,-83.9824649080478,-84.26928591787609,-85.4179246394676,-92.14732665974734,-98.96872343176173,-91.57544540136587,-83.65129274760596,-83.53153617096433,-84.32848777429533,-92.30037715819701,-100.97274742116115,-91.9294882457655,-83.37210607349212,-82.57777023514102,-83.09976690358074,-91.45873340012581,-100.78732853602159,-91.2582264852834,-82.91260627486152,-83.41562842157452,-85.27504967572744,-91.65925749785498,-97.84058256646958,-90.86713995286848,-81.1224203662565,-81.49487720390746,-82.71057872077151,-90.67808501626308,-98.99987540542807,-90.08789473776896,-81.51246713492205,-81.39112740804967,-82.27173329292833,-91.08004383261019,-100.37922106045747,-90.59835777337895,-89.0838454916757,-88.58755227932672,-89.22650235172745,-95.09376043843059,-100.3029963849497,-94.55773130580417,-83.74616971641805,-83.87928941255115,-85.02813724446413,-92.00322265583512,-98.93564657588645,-91.40072147644074
06-induction3,-83.2610236645726,-83.78815807412269,-85.54149910024947,-92.43476976267742,-98.39336252354705,-91.45305510798607,-83.71271205186619,-83.9805175356194,-85.06216226026673,-92.83439533198664,-99.80562465424826,-92.00242324773129,-83.41958985511712,-83.46813966972768,-84.24247391093581,-92.86970585498803,-100.31298506769744,-91.98263424524704,-83.70424025218739,-83.15914161778453,-83.76231512426988,-91.86502072981895,-99.73117441322789,-91.33462263114968,-83.13511952108652,-83.74332436090211,-85.56383251488717,-92.30740759226111,-98.52655332689069,-91.41419938792777,-83.79730899337866,-84.172058508916,-85.30976063551654,-92.55207221821725,-99.27252133026477,-91.79447564454509,-83.17438487248307,-83.03551798810406,-83.72792063331568,-92.21325429845008,-100.2755970734386,-91.55864605205247,-82.65509432014427,-81.83737890211208,-82.24207792904289,-90.69102784112182,-98.98348921785691,-90.23028994809896,-82.50855775856148,-83.10201812267391,-84.90704253219715,-92.09179648383599,-98.83619511024276,-91.20211903663014,-80.78303443623659,-81.0751589187704,-82.01910934201247,-90.68078694396841,-99.34270225138249,-90.02975995733335,-81.12664988999921,-80.92998920266184,-81.60136421433904,-91.03592097138664,-100.67001634384486,-90.4994688537852,-88.61951512112304,-88.18411280309019,-88.78897048976779,-94.01063070420057,-97.75674748736029,-93.30323053012845,-83.36059590165887,-83.54173352963623,-84.66520777424394,-92.36324346019188,-99.40368408433514,-91.57113429872405
06-induction4,-83.39257475194552,-83.7881167401072,-85.21137257572971,-92.14342763307539,-98.0462813357978,-91.21531917561163,-83.49154764264637,-83.7036876359981,-84.69131032542465,-92.38400909656738,-99.17491473747963,-91.55518733823214,-83.31530273842083,-83.32071718222437,-84.06320694456913,-92.8192424891003,-100.87413622283474,-92.05711586232523,-83.78479142808446,-83.17526829606535,-83.72295478441805,-91.69253273372027,-99.22688543404588,-91.13666253954239,-83.23284838920779,-83.69200711911536,-85.28431017946531,-92.12125420671647,-98.27040851937254,-91.24308309164437,-83.64752307639036,-83.93086470541564,-85.0050580987112,-92.34927731501848,-99.12301453733716,-91.59627301414432,-83.13576234778255,-83.02241594016286,-83.7527079947988,-92.22807785258786,-100.63570478569906,-91.65264985836373,-82.82926907642323,-82.00671983036024,-82.4201791787755,-90.96938954743523,-99.57871149726499,-90.556519979218,-82.68589431041732,-83.14268459262505,-84.66193834891745,-91.74516751359769,-98.05942785921339,-90.84923407111827,-80.75345376313331,-80.96462884775553,-81.83901787036356,-90.4164810993194,-98.93063349585175,-89.7757849167819,-81.16102894133458,-80.90565121503265,-81.53332114925618,-90.90204077372864,-100.43523840231498,-90.374728079319,-88.46000533111635,-87.9916035815424,-88.69454780017261,-93.9389136486742,-97.81833982928325,-93.24171177050735,-83.33393563594896,-83.44522139218984,-84.46669131341156,-92.19660832029281,-99.33477286745563,-91.4467517951507
06-experience1,-82.59546792548807,-83.20288114087455,-85.47471734016295,-91.50603529113972,-95.86093103961346,-90.27025528156881,-83.6751485116874,-84.01017733692659,-85.4031706537262,-91.05922577759071,-94.55369554691399,-89.92392513687832,-84.27099301535216,-84.3905621226305,-85.47789228257363,-92.67648867573867,-98.7107059759816,-91.79604114013343,-84.80741093422138,-84.13854744787588,-84.71704472518252,-91.06257536158628,-96.26075249323524,-90.40964734675062,-82.68881687359328,-83.32708448026628,-85.596228720639,-91.62968942187658,-96.7123701227162,-90.57266577797336,-83.86587667556358,-84.25378778602612,-85.70079518149997,-91.86936210766815,-97.25829922241192,-91.03783371836263,-84.10448751271244,-84.10796191921106,-85.13421474581703,-92.39719658583108,-99.48533794340821,-91.78473936725008,-83.89129506163333,-83.24199860475431,-83.89724914424401,-91.21930714598359,-98.37262916999536,-90.74489978925462,-81.85623529475713,-82.5271207778613,-84.92784905573993,-91.46036750322867,-97.1236908245024,-90.36920859541434,-81.50886976769002,-81.88218535836454,-83.21241527294558,-90.55726040923682,-97.71237046257218,-89.83920683969964,-82.29419682414205,-82.26620065753659,-83.26775261268017,-91.18652034076247,-99.00783883577827,-90.56870887172356,-89.5307748921714,-89.00015011537153,-89.52306420090575,-93.30438720908418,-96.0338656994428,-92.80083958979347,-83.63103741170677,-83.87980349411319,-85.35355137303353,-91.8240500940939,-97.3050605519928,-90.93352690822579
06-experience2,-83.85512022963746,-84.3739641522718,-86.19516660251534,-92.69272193568486,-98.44447205420337,-91.76526798305149,-84.29818515018039,-84.56257968790698,-85.69679492700106,-92.8460953572944,-98.9291393244257,-91.96878371839776,-84.28494170610307,-84.28540858496154,-85.08879698679534,-93.30163833563385,-100.76759329310777,-92.54355030209817,-85.28221442096809,-84.47032760509182,-84.83937047048924,-91.9069665380268,-98.08750930264395,-91.33920351742796,-83.91671957335453,-84.42259786949816,-86.1819771553597,-92.62620706858475,-98.73458489896521,-91.81756886542567,-84.41765281992011,-84.70438637143153,-85.81429511305024,-93.01004410250852,-100.06257604325796,-92.3637972873835,-83.97556130665114,-83.86921522317189,-84.63399099115307,-92.98702443967585,-101.54704930913678,-92.47880007723595,-83.94315293399904,-83.10424455295696,-83.4948203484762,-91.44723920839691,-99.46099195886879,-91.07072741703902,-83.19862785807459,-83.75945807729602,-85.63172944100292,-92.29924058961345,-98.53097533431306,-91.42638363654166,-81.46044219112298,-81.7354374375895,-82.755800573452,-91.03054190490776,-99.40227832189562,-90.40948145789885,-82.07537752575857,-81.88649912136782,-82.65632063380298,-91.66544462121334,-100.91550934962025,-91.14014714504401,-89.83723830349237,-89.199069696164,-89.64863836555789,-94.04412075164959,-97.01437523605237,-93.44194278377684,-84.1391013964697,-84.2770157911252,-85.41698397550265,-92.75127457006073,-99.65776254525261,-92.03582430915023
06-experience3,-83.27123021192898,-83.82887513959516,-85.55266152125137,-92.0892681447509,-97.87850382604859,-91.17507330892761,-83.52492489965057,-83.91003058262442,-85.14419976982349,-92.12273557685248,-97.98095286695545,-91.20838475153232,-83.60382421691841,-83.77013463548423,-84.8125928895367,-92.6867795292709,-99.27106676529982,-91.74547265369077,-84.40637912020395,-83.75298597191467,-84.39632456753766,-91.75127244023469,-98.61529070666529,-91.19746424073756,-83.2570044690757,-83.81472464147666,-85.54685925216211,-91.8643854693014,-97.78651662078747,-91.04746145265395,-83.82734577274184,-84.16110768704152,-85.28771338942349,-91.81716444104981,-97.67568794736334,-91.06426267023393,-83.31675815852462,-83.21590268659321,-84.03056536000307,-92.08457727421693,-99.69018597880377,-91.41692888861064,-83.17594862108369,-82.3446942343829,-82.80994003259327,-91.03397468476318,-99.20233203290903,-90.59892990517667,-82.61380451598087,-83.22036990799509,-85.00027732726844,-91.77637277286287,-98.23817361461263,-90.94235632656589,-80.86722932180302,-81.27249999945488,-82.4416875432397,-90.52994211179531,-98.69045740250873,-89.86922998738483,-81.41730707748802,-81.29070573018576,-82.17687655636112,-91.18396039622382,-100.23190522180626,-90.57924742015577,-88.78773348284412,-88.31576151131478,-89.03884122053881,-93.97245145577834,-97.67599063594989,-93.32083443555749,-83.4654388284496,-83.67819413125443,-84.88245692004922,-92.03791980662618,-98.51210567474439,-91.24769931964319
06-experience4,-83.45704746349055,-84.01456084505266,-85.94359428433185,-92.19346940799424,-98.0272715912856,-91.33539939070631,-83.78520048612653,-84.12650765757424,-85.41042321835535,-92.31147197771989,-98.329527938655,-91.45475751084332,-83.8867782557781,-83.94690665897562,-84.89872044331794,-92.5089820139897,-98.86997280761926,-91.61977564400736,-84.53749536785358,-83.89748531922669,-84.51665469559438,-91.4302285499038,-97.48765755568334,-90.810680774645,-83.2802693508996,-83.8472483221488,-85.76832404326801,-91.89288911082035,-97.9122819991399,-91.11945477128577,-83.91308607639274,-84.2423104770989,-85.45629193880987,-91.90956597781368,-98.10012704198955,-91.2455052997437,-83.54799159085599,-83.5361808728061,-84.46598749782227,-92.17976103302352,-99.7574029867126,-91.57525920768718,-83.36605383852822,-82.71565900575006,-83.34883603248582,-91.11345013368872,-98.63572877114227,-90.6030396406219,-82.89654809158775,-83.46388604818041,-85.36898173292079,-91.82151504800713,-98.32247971942775,-91.07324328872906,-81.08485727836084,-81.42142808917461,-82.55782088623168,-90.49154604304259,-98.50454765653454,-89.85374325887952,-81.72920157762539,-81.56343524259998,-82.43332170861417,-91.12063176443043,-99.78340751815723,-90.52273202641695,-88.72371018044693,-88.38386292006673,-89.23522244724083,-93.7176979019386,-96.88689738363786,-93.02896795655727,-83.64593368937525,-83.85827058593654,-85.14745731508708,-92.06129922316558,-98.50051329753653,-91.31787913384855
07-baseline1,-85.10810567027579,-86.27933961471268,-89.77569360287289,-94.38276945064325,-101.08579336878304,-93.86000848377137,-87.45183973919364,-88.18354810059242,-90.25634347395895,-94.48296544440137,-101.92086990932543,-94.58672505868648,-88.6904945928552,-88.79216239892807,-90.12399979958568,-94.17139354293921,-102.34249811209426,-94.7234173014831,-88.85464743483911,-88.20815009006114,-88.98140127074467,-92.62895604067396,-101.32907017656359,-93.61971764200868,-85.15020481939587,-86.31445240627856,-89.76625957562905,-94.70495462348593,-101.38872751493636,-94.0875031394331,-87.29207666744949,-88.07432254489613,-90.19883612681849,-94.79085532449844,-102.23594970210549,-94.77139585546706,-88.63539958383004,-88.9585193643587,-90.29352275820449,-93.7833753936786,-101.89316551388538,-94.46455447626603,-87.86370797015049,-88.01408591050503,-89.22752576923747,-92.20700600854292,-99.86901002903572,-92.97093717609255,-83.44364706077434,-84.69855674620774,-88.60333862412668,-93.70038774588514,-100.46999234570094,-92.95722681518443,-85.16886517531182,-85.87419584603973,-87.82992743791766,-92.34852290872001,-100.51783219186366,-92.57359220281684,-86.10803936679105,-86.43430024605061,-87.9720056668747,-91.89066738476531,-100.68144208286834,-92.5725953718331,-90.3406248985898,-90.69449905214348,-92.69661545670807,-95.82897101585121,-101.25233390427488,-95.8092943739459,-87.05324663567717,-87.69301796968546,-89.901925807848,-94.11603826144348,-101.57952062682618,-94.21191641567718
07-baseline2,-85.62575782762994,-86.81880883184046,-90.15706910707853,-94.55937199639891,-101.15620272971589,-94.10093165746338,-87.87309970163295,-88.63989728430741,-90.68975144344557,-94.72315967100799,-102.07962967180961,-94.86560411284458,-89.04545601505778,-89.31018601029363,-90.82266332841736,-94.45320483380937,-102.55744584200349,-95.06113417109198,-89.9488279422063,-89.46216336679555,-90.26340232002724,-93.02364539165667,-101.29521742121719,-94.1518841444527,-85.29112971002026,-86.55642618285165,-90.14919014756896,-94.84057252111496,-101.5181232586577,-94.25746305321023,-87.36891993366663,-88.29879311116204,-90.59622149641706,-94.9403901695621,-102.66273748326478,-95.0152534012437,-89.03385562320483,-89.44764863002317,-90.88648743547563,-93.9507672100911,-102.69264272258738,-94.8878050940582,-88.76149426283752,-88.876144191777,-90.0696564044451,-92.5669658481461,-101.07792999998604,-93.69534661756822,-83.72830337309242,-85.06951125630479,-89.02459507756564,-93.84890857585708,-100.3805916441568,-93.10939774087117,-85.55721551619149,-86.30328084972737,-88.3238700830898,-92.49808574100082,-100.70169769520936,-92.81799965215359,-86.73794937640861,-87.00712776666134,-88.48403233017424,-91.97249173758699,-101.13676246370945,-92.89472284516594,-91.9916605296222,-92.26844283765843,-93.8789567253115,-96.3107975687193,-101.94263847032673,-96.63942453276458,-87.46992254951161,-88.18761916445206,-90.44360562204572,-94.32168928742703,-101.91874794105642,-94.53456189820722
07-induction1,-85.55825622109877,-86.85191399131297,-90.30547550424151,-95.26808432406446,-101.97554400628137,-94.63608851906467,-87.40027516522534,-88.40102255356038,-90.75369148457673,-95.32033293976822,-102.88039039151094,-95.2697463411097,-88.71378964540942,-89.38072045571951,-91.35893790814004,-95.24955467241051,-103.50820308566081,-95.68469517492682,-89.54613520921748,-89.81753222030228,-91.36354104700598,-94.35240882285419,-102.7329386538863,-95.21453948140854,-85.46541305830608,-86.81301197665157,-90.53985825548813,-95.54898848848539,-102.16009825270416,-94.81889771203905,-87.37180774014212,-88.40220875549096,-90.95738494083182,-95.5875328799835,-103.06324274680703,-95.45334062634082,-88.61882224425794,-89.4475409535616,-91.53854038321916,-94.83936623012555,-103.08483829055736,-95.4094147342997,-88.20590926714863,-88.98393891367722,-91.03863785700247,-93.77451566910902,-101.64815942714213,-94.43342051166744,-84.058047076697,-85.4628186156171,-89.36335878496898,-94.59440564504978,-101.25637195425185,-93.76999797656366,-85.10102773142296,-86.11772312115188,-88.6017537893888,-93.17497366509909,-101.10780664910195,-93.18774027576644,-86.25117046382641,-87.08340221665378,-89.37637241439013,-93.03441891953062,-101.60812968252118,-93.53861544390612,-91.4186321995618,-92.2436318570899,-94.70698011273747,-97.78872481072065,-103.78081130639389,-97.78705340836169,-87.24901099874171,-88.24264317274967,-90.88627320567124,-95.1213350175649,-102.628784538742,-95.09958963030597
07-induction2,-84.5071968215077,-85.79423101900196,-89.71074263700251,-94.249931367253,-100.45430951377818,-93.52726354145963,-87.31307686558847,-88.10101954183432,-90.31079515607271,-94.40452362918171,-101.22440407578543,-94.36062580842767,-88.81251419885216,-89.01726954660671,-90.42772986586249,-94.29306638424431,-102.09213544147724,-94.78066509441138,-89.29718102666178,-88.87576282572269,-89.66579310772428,-92.8955787525937,-101.21679846370174,-93.89108375060349,-84.31315692203576,-85.66827109339975,-89.82091819011752,-94.54532050524965,-100.88139260896767,-93.74597700015956,-86.83690464295717,-87.77616609682411,-90.31665796623005,-94.6022917757351,-101.66433511842664,-94.48008794928859,-88.53830477653845,-88.91058988880059,-90.35565891491939,-93.50376684939796,-100.93518277356418,-94.09094613364597,-88.04027832433493,-88.22774913921475,-89.45177362125197,-92.14184072562921,-99.38530885507505,-92.88213564878205,-82.8100719134006,-84.20591406839657,-88.61110702470945,-93.62757741311903,-100.06575084652533,-92.71155684818555,-85.22384659617515,-85.91222301916525,-87.86190632041627,-92.23016775021648,-100.16682199429124,-92.4450785797459,-86.2736138944477,-86.49642981376945,-87.9078234314275,-91.73464029395413,-100.46084570007568,-92.46358627126274,-91.43959676224173,-91.70859196390498,-93.37610910443564,-96.00822962912888,-100.9426742950994,-96.0918016899411,-86.83625588351893,-87.5680972043235,-90.02135823793239,-94.0178722881219,-101.03379319831639,-94.00906196181141
